country,continent,total_deaths_per_1m_population
Afghanistan,Asia,190
Albania,Europe,1218
Algeria,Africa,152
Andorra,Europe,1974
Angola,Africa,55
Anguilla,North America,590
Antigua And Barbuda,North America,1378
Argentina,South America,2800
Armenia,Asia,2900
Aruba,North America,1979
Australia,Australia/Oceania,299
Austria,Europe,2011
Azerbaijan,Asia,942
Bahamas,North America,2001
Bahrain,Asia,816
Bangladesh,Asia,174
Barbados,North America,1503
Belarus,Europe,739
Belgium,Europe,2706
Belize,North America,1644
Benin,Africa,13
Bermuda,North America,2183
Bhutan,Asia,27
Bolivia,South America,1833
Bosnia And Herzegovina,Europe,4866
Botswana,Africa,1102
Brazil,South America,3087
British Virgin Islands,North America,2026
Brunei Darussalam,Asia,494
Bulgaria,Europe,5407
Burkina Faso,Africa,17
Burundi,Africa,3
Cabo Verde,Africa,707
Cambodia,Asia,178
Cameroon,Africa,69
Canada,North America,1049
Caribbean Netherlands,North America,1312
Cayman Islands,North America,417
Central African Republic,Africa,23
Chad,Africa,11
Channel Islands,Europe,978
Chile,South America,2972
China Hong Kong Sar,Asia,1230
China Macao Sar,Asia,
China,Asia,4
Colombia,South America,2694
Comoros,Africa,177
Congo,Africa,67
Cook Islands,Australia/Oceania,57
Costa Rica,North America,1630
Cote D Ivoire,Africa,29
Croatia,Europe,3925
Cuba,North America,754
Curacao,North America,1663
Cyprus,Asia,843
Czech Republic,Europe,3745
Democratic Republic Of The Congo,Africa,14
Denmark,Europe,1078
Djibouti,Africa,186
Dominica,North America,871
Dominican Republic,North America,396
Ecuador,South America,1963
Egypt,Africa,232
El Salvador,North America,631
Equatorial Guinea,Africa,123
Eritrea,Africa,28
Estonia,Europe,1924
Ethiopia,Africa,62
Faeroe Islands,Europe,569
Falkland Islands Malvinas,South America,
Fiji,Australia/Oceania,949
Finland,Europe,771
France,Europe,2247
French Guiana,South America,1268
French Polynesia,Australia/Oceania,2286
Gabon,Africa,131
Gambia,Africa,144
Georgia,Asia,4229
Germany,Europe,1636
Ghana,Africa,45
Gibraltar,Europe,3029
Greece,Europe,2861
Greenland,North America,369
Grenada,North America,1947
Guadeloupe,North America,2134
Guatemala,North America,960
Guinea Bissau,Africa,83
Guinea,Africa,32
Guyana,South America,1547
Haiti,North America,72
Holy See,Europe,
Honduras,North America,1068
Hungary,Europe,4820
Iceland,Europe,347
India,Asia,373
Indonesia,Asia,561
Iran,Asia,1642
Iraq,Asia,602
Ireland,Europe,1429
Isle Of Man,Europe,1223
Israel,Asia,1153
Italy,Europe,2741
Jamaica,North America,1003
Japan,Asia,239
Jordan,Asia,1352
Kazakhstan,Asia,712
Kenya,Africa,101
Kiribati,Australia/Oceania,106
Kuwait,Asia,582
Kyrgyzstan,Asia,445
Laos,Asia,101
Latvia,Europe,3139
Lebanon,Asia,1538
Lesotho,Africa,321
Liberia,Africa,56
Libya,Africa,913
Liechtenstein,Europe,2191
Lithuania,Europe,3442
Luxembourg,Europe,1664
Macedonia,Europe,4459
Madagascar,Africa,48
Malawi,Africa,131
Malaysia,Asia,1075
Maldives,Asia,534
Mali,Africa,34
